POST_ID,USER_ID,CATEGORY_ID,TITLE,CONTENT,CREATION_DATE,UPDATE_DATE,IS_STICKY,LIKE_COUNT,DISLIKE_COUNT,FAVORITE_COUNT,COMMENT_COUNT,IMAGE_URL
1,1,1,求助!!!求帮忙看看狗狗怎么了,"狗狗不在自己家，好久没回去，今天去看她，叫她的时候很开心地出来，小尾巴摇，跟以前一样，但是不会跳起来搭在我身上了……
摸摸她的背，吓一大跳，瘦得摸上去都是骨头了，肚子怎么看也不像怀孕，眼睛还有污垢糊上了……
狗狗七岁多了。好怕是腹水什么的，好怕好怕，这两天也刷到很多怀念宠物的视频，好害怕好害怕，一下子哭出来，我善良的好宝宝怎么这样了呢……这两天会送医院，但现在还是想知道一下是什么情况。",2024-07-15 19:23:18,2024-07-15 19:23:18,1,0,0,0,0,PostImages/m5r1oiabvktbguyeuf5dv0ksem1xk4nfiumiystf4a93ggahni2gll7w5orgflcu.jpg
2,1,6,刚买回来的虎皮鹦鹉不吃东西的解决方法分享,"方式是喂益生菌。如果身体疾病是肠炎引起的，可以喂益生菌来调节胃肠道，减轻胃肠道的负担。改善饮食，可以喂一些蔬菜、水果，可以促进胃肠消化，增强食欲。确保环境安静，避免进食吵闹的食物。环境会让鹦鹉厌食，所以建议饲养在舒适安静的环境中。
胃肠道疾病引起腹痛、嗜睡、食欲不振等症状。这种情况可以适量喂一些益生菌，可以减少细菌生长，促进胃肠消化。也可以吃大蒜。大蒜有很好的杀菌作用，但建议只喂一颗。",2024-07-15 19:23:20,2024-07-15 19:23:20,1,0,0,0,0,
3,1,5,9件新手接猫必备用品！学生党精简版,"1、除臭喷雾
很多人容易忽视养宠的气味问题，尤其是租房或者在宿舍养猫咪的，小空间更容易有味道！经验之谈一定要买宠物专用的除臭除菌喷雾！
分享我正在用的这个，体积不大不占地方，还便宜，更重要的是效果好！按一下喷嘴，喷雾就能迅速扩散到空间内，不仅能快速除臭，还能去除常见菌，给人宠创造一个空气清新、健康卫生的生活环境。这款是宠物专用的，不管是吸入还是舔舐都无毒，幼猫用起来也很放心。
2、猫碗一对：licheers陶瓷碗
奶油色系颜值nice！瓷碗清洗起来更方便，不容易有残留，不易黑下巴。而且这款有加高设计，这样能保护猫咪颈椎~碗底也是高脚的，放在那里很稳当，不容易被打翻。
3、梳毛器
去浮毛+梳毛培养感情就能一起做到啦！尤其是长毛猫，毛发容易打结的，每天用梳子疏通一下，越梳越顺。
4、指甲剪
不能用人用的指甲刀哈，会把猫咪指甲剪劈开，很疼，一定使用专用的。
5、猫砂：里兜小银钻猫砂
6、猫砂盆：licheers蓝色特大号
7、猫抓板：pidan山谷猫抓板
8、猫咪出行包：喵先生双肩猫包
9、猫粮：鲜朗烘焙猫粮",2024-07-15 19:23:23,2024-07-15 19:23:23,0,0,0,0,0,
4,1,2,全网找猫,是的我，我的猫自己开窗跑了，希望在南山华联花园附近的朋友能够帮忙注意一下！,2024-07-15 19:23:27,2024-07-15 19:23:27,0,0,0,0,0,PostImages/bywdacqsops0ik4v3s1xz2rk1tuaskhryffzjhca5dvvjgacwlovo52mf5lug0xi.jpg
5,1,3,猪猪相亲活动,"板栗今年一岁四个月，脾气一般，偶尔暴躁，踩到软垫会爆米花跳
相亲对象是个女宝，七个月，脾气超级好，喜欢吃黄瓜，板栗特地央求我带了一截黄瓜（女宝主人说他是个好男猪）
相亲过程：见面先互相闻闻嗅嗅，接着我们板栗主动出击，围着相亲对象转圈圈（板栗你这时候再怎么转圈我也给不了你零食啊喂）
板栗咕噜咕噜，女宝也小声咕噜咕噜回话（我猜他们一定是在说悄悄话，并且成功交上了朋友，这时候我们把黄瓜拿出来了）女宝瞬间转头闻向黄瓜，女宝淑女地啃起来女宝真乖
忽然女宝沿着墙壁跑走，板栗追过去了，跳到了女宝头上，开始这样那样（板栗啊是我不好，性教育课程回去补上，我是上帝之手）给板栗抓起来掉了个头，让板栗趴在对象屁股上这样那样",2024-07-15 19:23:28,2024-07-15 19:23:28,0,0,0,0,0,PostImages/1wo4doyx6vhszlkfx5qok5f5b450u8mr4608o7jd41i2xwn3ok8f5xxhgfbd7qqc.jpg
6,2,1,求助贴 狗狗快不行了 医院也检查不出原因,"我家小狗已经14岁了，身体一直很好，两周之前突然间就不吃饭了，以前她一点都不挑嘴什么都爱吃，送去医院先后按照肠胃炎、胰腺炎、慢性肾衰来治，最终都不见好转，反而从一开始的不吃饭快速变成了不认识主人，听力视力下降、莫名的满屋乱逛，甚至会身子卡在一个角落出不来，走路也走不稳
所有的一切变化都是在短短两周之内发生的，医院也查不出原因，我看着她每天的状态都在变糟，真的好心疼，有懂得朋友知道我家小狗到底怎么了吗，感谢，求求大家",2024-07-15 19:23:29,2024-07-15 19:23:29,0,0,0,0,0,PostImages/92m010jljf442zmn4kzqegja3cc6j5rowusim4uulp1d3kvb3k2rmf889nlg6bld.jpg
7,2,2,猫咪丢失一个半月找回细节分享,"因为我自己的猫猫走丢了一个半月才找回来，这一个半月有多煎熬我实在太能体会了！故单独开帖再详细讲一下其中细节，希望能帮到有需要的人。我当时也是每天在各种“猫咪丢后找到”的帖子下面接好运，还去找玄学（现在看还挺准的！有点子东西！但是不推荐哈！），属于病急乱投医了。
我们猫是在乡下跑丢的，找猫难度简直顶级，周围能躲藏的地方太多了。而且猫丢了家里人没跟我们说，是我们周末回去才知道的，又错过了最佳找猫时机。猫咪最后是在直线距离十米的邻居家房顶上发现的，走丢期间这个地方我路过喊了无数次，我以为猫猫听到我的呼喊会回应我，但是太胆小的猫是不会回应的！我女鹅又太小了离不得人，所以半夜也无法去找猫。有条件的最好半夜、凌晨出去找猫！我们9点左右天黑了找也毫无收获，推测应该还是因为有人类活动猫咪不敢出来。
就在我跟老公商量再准备打印些寻猫启事广撒网的时候，猫咪就出现，然后我公婆就用猫粮诱惑把她抓住了！天知道我当时都绝望了，出去找猫凭的是一种执念，觉得不出去找对不起猫猫也对不起自己。而且万一猫猫就在哪个路口等我呢！
希望所有的猫咪早日回家！农村散养的猫一定要装定位器！不然丢了真的后悔莫及！",2024-07-15 19:23:30,2024-07-15 19:23:31,0,0,0,0,0,
8,2,6,猫咪耳朵清洁指南：安全清除毛发、耳垢和异物,"1.滴入洗耳液：将适量的洗耳液滴入耳道内。
2.按摩耳根：继续将猫的耳朵向上举起，充分揉捏耳根部。这样可以帮助洗耳液渗入耳道。
3.清洁耳翼：在棉签上滴一滴耳朵清洁液，从外向内擦拭耳翼，清除耳垢。
4.清洁耳道：用新的棉签，从外向内擦拭耳道，清除耳垢。
5.处理污垢：将清除的耳垢放在卫生纸上，不要扔掉。因为耳疥疮可以传播，处理污垢可以防止感染扩散。",2024-07-15 19:22:02,2024-07-15 19:22:02,0,0,0,0,0,
9,2,3,南京浦口小公柴相亲,"姓名：七郎
年龄：五岁
性格：脾气超好性格稳定的哑巴小狗从来不乱叫 不惹事 宠物医院认证方圆十公里最乖的柴犬
爷爷获得过日本内阁总理大臣赏（冠军中的冠军）品相真的没得说 。想在绝育前给孩子留个种，寻找南京适龄小母柴",2024-07-15 19:22:15,2024-07-15 19:22:15,0,0,0,0,0,PostImages/9408f4het6jyhkoc7n5ur4d0ucszga25kq3a3dutgyiqmpmy8vwooa68cm7nexat.jpg
10,2,5,暑假来了，带狗出行准备这些足够了,"独居女性又喜欢旅游，养了狗狗也不能影响出去玩的野心，所以走到哪里都要背上我的小狗。这张狗狗行李清单准备好，随时就能来一场说走就走的旅行啦！有小狗的陪伴，旅途不要太开心。这里面的物品实用率很高，不鸡肋，不累赘，都是我几经摸索后强烈给大家种草的，照着准备准没错。
1.水
狗狗出游千万不能缺水，建议给狗狗准备一个随身携带的水壶➕两个折叠碗。随身壶则是白天带狗狗在景区或者车上的时候方便随时给狗狗补充水分。
2.防虫喷雾
带狗子去户外，出门前一定要用防虫喷雾把身上喷一遍，特别是夏天来了，家长们千万不要偷懒，防虫工作一定要做好。
3.益生菌
益生菌是我们每次出游的必备品，出游的路上有各种可能性，狗狗水土不服、乱吃东西、作息不规律等等都会使狗子们的肠胃不适，益生菌是一定要准备的。
4.狗粮、湿粮、零食
找一个小罐根据出门天数给狗狗装好狗粮，另外准备一些小包装的鲜封包，以免只吃狗粮营养单一，或者挑食狗狗不好好吃狗粮。另外给狗狗带一些平时喜欢吃的零食，我们需要解闷，狗狗也需要啦。
5.雨衣
预防天气突变，狗狗一定要备上一件雨衣。去山上或者温度偏低的地方，即使不下雨，也能很好遮挡强风。",2024-07-15 19:22:16,2024-07-15 19:22:16,0,0,0,0,0,
