COMMENT_ID,POST_ID,USER_ID,PARENT_COMMENT_ID,CONTENT,COMMENT_TIME,LIKE_COUNT,DISLIKE_COUNT
1,1,11,,赶紧送医院,2024-08-04 10:40:00,0,0
2,1,12,,像库欣综合征,2024-08-04 10:40:01,0,0
3,1,13,,好可怜的狗狗帮帮他去看医生吧,2024-08-04 10:40:02,0,0
4,1,14,,去医院看看是不是腹水吧,2024-08-04 10:40:03,0,0
5,1,15,,去医院检查吧，像腹水,2024-08-04 10:40:04,0,0
6,4,16,,可以找朋友一起在犄角旮旯找找，撒点猫粮喂喂附近流浪猫 尽量今天找找应该找的到的,2024-08-04 10:40:05,0,0
7,4,17,6,已经在小区找了个遍，感觉已经不在小区了或者被人抱走了,2024-08-04 16:40:06,0,0
8,4,18,,小红书奶猫吸引声有用 音量开到最大找 猫胆子小 肯定在附近 我朋友的猫就是凌晨五六点在地下车库找到的 清洁阿姨提供的线索 猫是液体 哪里都能躲 那种开着缝隙的地下车库也要排查 一个姐妹在丢的50米范围内反复找 凌晨四点找到了 剪刀大法有用,2024-08-04 10:40:07,0,0
9,4,19,,顶上去！顶上去！,2024-08-04 10:40:08,0,0
10,6,20,,最后怎么样了？我家狗也是之前就喝水。狗粮也吃的。现在不吃了。吃了就吐。也不拉。吃进去的东西没消化。全吐出来了。做了检查。胰腺指数偏高。但肚子里屎太多了。不准。又说肝不好。我都要急死了,2024-08-04 10:40:09,0,0
11,6,11,10,医生说最多五天，但今天已经是回家的第四天了，恢复的速度很惊人，一天一个样，现在外表已经看不出异常了，但吃东西还吐，便便也有点成型了，喂点药再看看吧,2024-08-05 11:40:10,0,0
12,6,12,,查是否被蜱虫咬,2024-08-04 10:40:11,0,0
13,6,13,,你家狗狗最后怎么样了,2024-08-04 10:40:12,0,0
14,6,14,,姐妹姐妹，看下我！你家狗狗一开始是什么症状啊？我家狗狗最近也不舒服，不吃喝水少，精神不太好，流黏稠透明口水，但会馋，发情期刚过,2024-08-04 10:40:13,0,0
15,7,15,,接！我家也在乡下 找了一个星期了 板栗快回来吧,2024-08-04 10:40:14,0,0
16,7,16,,家是在县城，马路边上，猫猫不会离家太远，活动范围顶多家里周围一两户人家，从昨天早上吃完猫粮之后就不见了，被困住了会叫，饿了会找吃，自己也知道回家。但是昨天和今天一直没听见他叫也没看见她，三年了没丢过一次，就昨天一下子不见了,2024-08-04 10:40:15,0,0
17,7,17,,我家猫是躲邻居车底带到20公里外的乡下了，我找了很多天都还没找到，我家那只有的时候会回应，在外面可能胆小不回应，而且也不确定沿途是不是有跑下车,2024-08-04 10:40:16,0,0
18,7,18,,一会去找朋友小猫，希望找到，求求了,2024-08-04 10:40:17,0,0
19,7,19,,北京时间 7.13凌晨1.23开门出去了，溜达了一圈回来了，家里人把门关上了说是我忘记关门了，过了一会儿凌晨三点又开门了，出去玩了一会，外面下雨回来了，我回家看见门开着把我吓了一跳，突然伸出来了一个猫脑袋，狗东西一直在门口等着我,2024-08-04 10:40:18,0,0
20,10,20,,您好呀，这个宠物背包是哪一家的呀,2024-08-04 10:40:19,0,0
21,10,11,,你好，益生菌有没有推荐呀,2024-08-04 10:40:20,0,0
22,10,12,21,我们就是吃的小宠的,2024-08-04 10:58:21,0,0
23,11,13,,300一针？咋不去抢？一个月打针就近1W，自己拿441打吧，你这猫小，一瓶能用一周了，才一百多成本。,2024-08-04 10:40:22,0,0
24,11,14,23,我们1昨天确诊猫传腹，12斤半的，一次打5ml一针300，他这个300太贵了,2024-08-04 15:40:23,0,0
25,11,15,,打针一个月，后面转好喂片剂，我家的干性传腹三天后就可以自主进食了，现在一个月了，跟正常一样，然后每天喂药,2024-08-04 10:40:24,0,0
26,11,16,,联系兽药买正宗441，120一支。,2024-08-04 10:40:25,0,0
27,11,17,,上个鼻饲管，一定要吃才能好，然后打411，坚持,2024-08-04 10:40:26,0,0
28,12,18,,我家猫之前也丢了几天，不知道藏家里啥地方了，猫粮在变少，猫砂里有新粑粑，我跟云养猫似的,2024-08-04 10:40:27,0,0
29,12,19,,被窝里！！！我们家猫有一次就是这样，哪儿都找不到，我都伤心哭了，最后发现在被窝里，死活不吭声，让我拽出来打了一顿,2024-08-04 10:40:28,0,0
30,12,20,,你去抖音搜索召唤猫猫，她听到声音就出来了,2024-08-04 10:40:29,0,0
31,12,11,,衣柜里抽屉里找找,2024-08-04 10:40:30,0,0
32,12,12,,我家小猫也在家消失了，客厅窗户开了一点估计钻出去了，之前会到阳台上玩，这次不知道跑哪去了，昨晚发现的我还心存侥幸自己会回来，到中午了还没看到心慌开始找了还没找到,2024-08-04 10:40:31,0,0
