MESSAGE_ID,USER_ID,COMMENTER_ID,MESSAGE,COMMENT_TIME
1,1,2,你好！我发现一篇关于金毛寻回犬的文章，很有帮助，你也看看吧！,2024-07-08 00:00:00
2,1,3,你的狗狗看起来真可爱！它是纯种的吗？,2024-08-31 03:00:00
3,2,4,你的小猫喜欢吃什么零食？我家的挑食得很。,2024-07-14 01:00:00
4,2,5,你好！我在考虑领养一只英国短毛猫，你有什么建议吗？,2024-09-05 15:00:00
5,3,6,你好！我是新手，你能给我一些关于养英国短毛猫的建议吗？,2024-07-27 02:00:00
6,3,7,你看到那篇关于救助受伤金毛寻回犬的新闻了吗？真是太感人了！,2024-09-03 12:00:00
7,3,8,你家的猫猫喜欢什么样的猫窝？我家的总是喜欢钻进小角落。,2024-08-28 15:00:00
8,4,9,你的狗狗喜欢吃什么零食？我家的挑食得很。,2024-07-23 16:00:00
9,4,10,我刚刚领养了一只英国短毛猫，你有任何经验可以分享吗？,2024-09-01 03:00:00
10,5,11,我家的小猫最近开始掉毛了，你有什么建议吗？,2024-08-25 14:00:00
11,5,12,最近有一篇报道说金毛寻回犬是最受欢迎的宠物之一，你觉得呢？,2024-09-04 13:00:00
12,6,13,你家的小狗喜欢玩水吗？我家的对水龙头特别好奇。,2024-09-06 11:00:00
13,6,14,你家小狗多大了？我家的现在两岁，正处在成长期。,2024-08-16 04:00:00
14,6,15,你的英国短毛猫是从哪里领养的？我也想去看看。,2024-07-29 12:00:00
15,7,16,我们家的小猫喜欢玩纸箱，你家的宠物呢？,2024-08-09 10:00:00
16,7,17,你注意到最近有关于宠物食品安全的新闻了吗？我们应该注意些什么？,2024-08-20 09:00:00
17,8,18,你家的小猫喜欢和人一起睡觉吗？我家的总爱挤在我旁边。,2024-08-14 11:00:00
18,8,19,你家狗狗看起来精力充沛，你是怎么让它保持活力的？,2024-08-05 05:00:00
19,9,20,我在考虑领养一只成年英国短毛猫，你觉得怎么样？,2024-09-01 06:00:00
20,9,1,你家的猫猫平时喜欢什么样的活动？,2024-07-22 10:00:00
21,9,2,我最近也在学习如何训练我家狗狗，你有什么好建议吗？,2024-07-08 08:00:00
22,10,3,我领养了一只英国短毛猫，它还不习惯新家，有什么建议吗？,2024-07-31 07:00:00
23,10,4,你家的猫猫平时吃哪种品牌的猫粮？,2024-07-24 16:00:00
24,11,5,你看了那篇关于宠物友好型城市的报道吗？,2024-09-03 07:00:00
25,11,6,你的狗狗看起来很健康，你平时都是怎么照顾它的？,2024-08-29 09:00:00
26,12,7,你家的小猫领养后多久才适应新家的？,2024-08-03 06:00:00
27,12,8,你家猫猫喜欢出门散步吗？我家的总是想出去。,2024-08-17 08:00:00
28,12,9,你家的狗狗有没有参加过宠物比赛？最近有一场宠物才艺展示。,2024-08-20 07:00:00
29,13,10,你家的猫咪喜欢被抱着吗？我家的有时候喜欢，有时候不喜欢。,2024-08-28 13:00:00
30,13,11,你领养的猫猫是不是也经历了一个适应期？,2024-08-07 06:00:00
31,14,12,你家的狗狗喜欢和其他宠物玩耍吗？,2024-08-08 08:00:00
32,14,13,你喜欢看宠物相关的电影吗？最近有一部宠物题材的电影上映。,2024-08-28 05:00:00
33,15,14,你家的小狗喜欢玩什么游戏？我家的喜欢追逐激光笔。,2024-08-23 05:00:00
34,15,16,你家的小猫喜欢晒太阳吗？我家的总是喜欢找阳光最充足,2024-08-10 09:00:00
35,15,17,你注意到最近关于宠物领养率上升的新闻了吗？这对宠物来说是个好消息！,2024-08-23 04:00:00
36,16,18,你看了那篇关于宠物心理健康的文章吗？,2024-08-22 10:00:00
37,16,19,你有没有听说过最近的宠物慈善活动？我也想参与一下。,2024-08-04 04:00:00
38,17,20,你家的狗狗喜欢被抚摸哪个部位？,2024-08-21 16:00:00
39,17,1,我想知道你家的狗狗是如何适应新环境的？我们最近搬家了。,2024-08-05 11:00:00
40,18,2,我家的狗狗有时候会偷偷爬到高处，你家的呢？,2024-08-02 12:00:00
41,18,3,我刚刚领养了一只英国短毛猫，你有什么必备的用品推荐吗？,2024-08-29 03:00:00
42,18,4,我在领养中心看到了一只英国短毛猫，你觉得适合家里有小孩的情况吗？,2024-08-07 03:00:00
43,19,5,你家的猫咪喜欢听音乐吗？我家的似乎很喜欢轻音乐。,2024-08-28 14:00:00
44,19,6,你家的猫猫喜欢玩什么玩具？我家的特别喜欢球类。,2024-08-27 13:00:00
45,20,7,你家的狗狗喜欢和别的狗狗一起玩吗？我们周末打算去公园，想不想一起去？,2024-08-11 02:00:00
46,20,8,你家的猫咪领养的时候多大了？我家的现在还很小，不知道长大后会变成什么样。,2024-08-21 14:00:00
47,1,9,你家的狗狗是从哪里领养的？我们正打算去领养一只。,2024-08-26 02:00:00
48,2,10,你家的猫猫领养后有没有遇到什么挑战？我们最近遇到了一些小问题。,2024-08-07 01:00:00
49,4,11,你家的猫猫喜欢坐车吗？我们计划带它去海边度假，不知道它会不会晕车。,2024-08-19 15:00:00
50,5,12,你家的狗狗喜欢游泳吗？我家的每次去湖边都兴奋得不得了。,2024-08-03 01:00:00
